#time,accel_x,accel_y,accel_z
1061.372413,229.828649,-296.082377,9474.636058
1061.372729,383.047749,-148.041188,9622.677246
1061.373045,306.438199,-148.041188,9548.656652
1061.373361,306.438199,-74.020594,9400.615463
1061.373677,383.047749,-74.020594,9474.636058
1061.373993,536.266849,-0.000000,9474.636058
1061.374309,459.657299,-0.000000,9474.636058
1061.374625,459.657299,-74.020594,9326.594869
1061.374941,306.438199,-0.000000,9696.697840
1061.375257,459.657299,-0.000000,9474.636058
1061.375573,612.876398,-296.082377,9548.656652
1061.375889,383.047749,-0.000000,9400.615463
1061.376206,306.438199,-74.020594,9696.697840
1061.376522,383.047749,-222.061783,9474.636058
1061.376838,0.000000,-0.000000,9548.656652
1061.377154,459.657299,-0.000000,9400.615463
1061.377470,612.876398,296.082377,9400.615463
1061.377786,536.266849,518.144159,9178.553681
1061.378102,689.485948,518.144159,9252.574275
1061.378418,766.095498,444.123565,9474.636058
1061.378734,383.047749,-0.000000,9548.656652
1061.379050,612.876398,444.123565,9252.574275
1061.379366,536.266849,296.082377,9548.656652
1061.379682,766.095498,-148.041188,9622.677246
1061.379998,383.047749,296.082377,9474.636058
1061.380314,306.438199,148.041188,9400.615463
1061.380630,229.828649,370.102971,9474.636058
1061.380947,689.485948,370.102971,9548.656652
1061.381263,306.438199,1036.288319,9252.574275
1061.381579,459.657299,1036.288319,9252.574275
1061.381895,536.266849,740.205942,9178.553681
1061.382211,383.047749,814.226536,9400.615463
1061.382527,383.047749,1110.308913,9326.594869
1061.382843,153.219100,592.164754,9252.574275
1061.383159,-153.219100,666.185348,9622.677246
1061.383475,-383.047749,740.205942,9548.656652
1061.383791,0.000000,1184.329507,9326.594869
1061.384107,153.219100,1332.370696,9474.636058
1061.384423,-612.876398,1332.370696,9178.553681
1061.384739,-766.095498,1110.308913,8882.471304
1061.385055,-842.705048,1554.432478,9178.553681
1061.385371,-995.924147,1480.411884,9474.636058
1061.385688,-1302.362347,1628.453072,9474.636058
1061.386004,-1455.581446,1406.391290,9992.780217
1061.386320,-2145.067394,1406.391290,9696.697840
1061.386636,-2221.676944,1406.391290,9770.718434
1061.386952,-2374.896044,1258.350101,9696.697840
1061.387268,-2451.505594,1406.391290,9770.718434
1061.387584,-2068.457845,1776.494261,9844.739029
1061.387900,-1991.848295,1998.556043,9474.636058
1061.388216,-2145.067394,1850.514855,9400.615463
1061.388532,-1685.410096,1850.514855,9474.636058
1061.388848,-2068.457845,1850.514855,9326.594869
1061.389164,-1762.019645,1702.473667,9474.636058
1061.389480,-1838.629195,1628.453072,9770.718434
1061.389796,-1532.190996,1480.411884,9844.739029
1061.390112,-1532.190996,1850.514855,9622.677246
1061.390429,-1302.362347,1924.535449,9474.636058
1061.390745,-1608.800546,1776.494261,9474.636058
1061.391061,-1302.362347,2220.617826,9178.553681
1061.391377,-1378.971896,2368.659014,9326.594869
1061.391693,-1378.971896,2368.659014,9252.574275
1061.392009,-1838.629195,2072.576638,9252.574275
1061.392325,-1762.019645,1776.494261,9252.574275
1061.392641,-1991.848295,1480.411884,9548.656652
1061.392957,-2221.676944,1184.329507,9696.697840
1061.393273,-1915.238745,1258.350101,9918.759623
1061.393589,-2221.676944,962.267725,9844.739029
1061.393905,-1991.848295,1258.350101,9992.780217
1061.394221,-2604.724693,1184.329507,9770.718434
1061.394537,-2221.676944,1332.370696,9696.697840
1061.394854,-2068.457845,1480.411884,9770.718434
1061.395170,-1915.238745,1406.391290,9844.739029
1061.395486,-1762.019645,1480.411884,9474.636058
1061.395802,-1532.190996,1406.391290,9326.594869
1061.396118,-1838.629195,1776.494261,9030.512492
1061.396434,-1532.190996,1850.514855,9178.553681
1061.396750,-1378.971896,2146.597232,8734.430116
1061.397066,-1991.848295,2294.638420,8956.491898
1061.397382,-2374.896044,2368.659014,8808.450710
1061.397698,-2145.067394,2294.638420,9178.553681
1061.398014,-2604.724693,1480.411884,9326.594869
1061.398330,-2604.724693,1184.329507,9770.718434
1061.398646,-2451.505594,518.144159,10140.821405
1061.398962,-2221.676944,148.041188,10140.821405
1061.399278,-1991.848295,296.082377,10288.862594
1061.399595,-2145.067394,518.144159,10214.842000
1061.399911,-919.314598,1036.288319,10510.924376
1061.400227,-612.876398,1332.370696,9474.636058
1061.400543,-229.828649,1702.473667,9178.553681
1061.400859,153.219100,2664.741391,8586.388927
1061.401175,766.095498,3330.926739,8512.368333
1061.401491,766.095498,3256.906145,7994.224174
1061.401807,689.485948,3256.906145,7920.203579
1061.402123,0.000000,3182.885551,8216.285956
1061.402439,-689.485948,2886.803174,8290.306550
1061.402755,-1455.581446,2294.638420,8734.430116
1061.403071,-2374.896044,1998.556043,9474.636058
1061.403387,-3140.991542,1406.391290,9992.780217
1061.403703,-3600.648841,1184.329507,10436.903782
1061.404019,-4060.306139,518.144159,10732.986159
1061.404336,-3907.087040,148.041188,11029.068536
1061.404652,-3447.429741,-74.020594,11473.192101
1061.404968,-2834.553343,-0.000000,10955.047942
1061.405284,-2145.067394,370.102971,10436.903782
1061.405600,-1149.143247,962.267725,9844.739029
1061.405916,0.000000,1184.329507,9104.533087
1061.406232,383.047749,2738.761985,8438.347739
1061.406548,766.095498,3404.947333,8068.244768
1061.406864,1072.533697,3775.050304,7698.141797
1061.407180,1072.533697,4885.359217,7624.121203
1061.407496,689.485948,4515.256246,7402.059420
1061.407812,-229.828649,4293.194464,7328.038826
1061.408128,-1532.190996,3330.926739,8438.347739
1061.408444,-2451.505594,2220.617826,9326.594869
1061.408760,-3370.820191,1332.370696,10362.883188
1061.409077,-4519.963438,-296.082377,11769.274478
1061.409393,-4903.011187,-962.267725,12287.418637
1061.409709,-4903.011187,-1406.391290,12509.480420
1061.410025,-4519.963438,-1406.391290,12287.418637
1061.410341,-3753.867940,-1406.391290,12065.356855
1061.410657,-2757.943793,-148.041188,11399.171507
1061.410973,-1378.971896,1406.391290,10066.800811
1061.411289,-153.219100,3256.906145,8290.306550
1061.411605,1302.362347,4589.276840,7105.977043
1061.411921,1532.190996,5699.585753,5995.668130
1061.412237,1608.800546,5847.626942,5995.668130
1061.412553,919.314598,5033.400406,6513.812290
1061.412869,536.266849,3627.009116,7772.162391
1061.413185,-919.314598,1998.556043,8956.491898
1061.413502,-2451.505594,-0.000000,10066.800811
1061.413818,-3753.867940,-962.267725,11621.233289
1061.414134,-4519.963438,-2072.576638,12583.501014
1061.414450,-5056.230287,-1776.494261,12435.459826
1061.414766,-4979.620737,-1184.329507,12287.418637
1061.415082,-4213.525239,-740.205942,11769.274478
1061.415398,-3447.429741,148.041188,10214.842000
1061.415714,-2374.896044,1258.350101,9548.656652
1061.416030,-842.705048,2220.617826,8586.388927
1061.416346,306.438199,2590.720797,8216.285956
1061.416662,1225.752797,3182.885551,7179.997637
1061.416978,1149.143247,2886.803174,7476.080014
1061.417294,995.924147,1850.514855,7994.224174
1061.417610,919.314598,962.267725,8586.388927
1061.417926,689.485948,592.164754,9104.533087
1061.418243,306.438199,-0.000000,9326.594869
1061.418559,-536.266849,444.123565,9770.718434
1061.418875,-1225.752797,-0.000000,9918.759623
1061.419191,-1072.533697,-148.041188,10214.842000
1061.419507,-1455.581446,-74.020594,9992.780217
1061.419823,-1532.190996,-0.000000,9474.636058
1061.420139,-1762.019645,-444.123565,9992.780217
1061.420455,-1532.190996,-1480.411884,9844.739029
1061.420771,-383.047749,-1184.329507,9622.677246
1061.421087,306.438199,-1332.370696,9696.697840
1061.421403,536.266849,-296.082377,9178.553681
1061.421719,536.266849,740.205942,8512.368333
1061.422035,1838.629195,962.267725,8734.430116
1061.422351,1685.410096,1406.391290,8512.368333
1061.422667,1532.190996,1850.514855,8512.368333
1061.422984,1072.533697,1480.411884,8512.368333
1061.423300,919.314598,296.082377,9104.533087
1061.423616,612.876398,-740.205942,9918.759623
1061.423932,919.314598,-1332.370696,10140.821405
1061.424248,306.438199,-1110.308913,9622.677246
1061.424564,0.000000,-1110.308913,9474.636058
1061.424880,-229.828649,-518.144159,9400.615463
1061.425196,383.047749,-444.123565,9548.656652
1061.425512,153.219100,222.061783,9326.594869
1061.425828,0.000000,1184.329507,9400.615463
1061.426144,-383.047749,666.185348,9696.697840
1061.426460,229.828649,-0.000000,9622.677246
1061.426776,383.047749,-0.000000,9474.636058
1061.427092,689.485948,296.082377,9252.574275
1061.427408,612.876398,-74.020594,9400.615463
1061.427725,306.438199,-444.123565,9548.656652
1061.428041,459.657299,-518.144159,9474.636058
1061.428357,153.219100,-1036.288319,9770.718434
1061.428673,0.000000,-148.041188,10362.883188
1061.428989,229.828649,-222.061783,10658.965565
1061.429305,1455.581446,-592.164754,10362.883188
1061.429621,1838.629195,-370.102971,9548.656652
1061.429937,1302.362347,-74.020594,8734.430116
1061.430253,2528.115143,1258.350101,8290.306550
1061.430569,2757.943793,740.205942,7920.203579
1061.430885,2757.943793,1036.288319,8586.388927
1061.431201,1762.019645,962.267725,8956.491898
1061.431517,689.485948,592.164754,9178.553681
1061.431832,0.000000,222.061783,9844.739029
1061.432148,76.609550,-518.144159,10362.883188
1061.432464,0.000000,-370.102971,10362.883188
1061.432780,-383.047749,-296.082377,9918.759623
1061.433096,-689.485948,-592.164754,10140.821405
1061.433412,-229.828649,-888.247130,10658.965565
1061.433728,-689.485948,-814.226536,10066.800811
1061.434044,-919.314598,-666.185348,9918.759623
1061.434360,-842.705048,-222.061783,10288.862594
1061.434676,-229.828649,-296.082377,10066.800811
1061.434991,153.219100,444.123565,9252.574275
1061.435307,383.047749,1258.350101,8660.409521
1061.435623,459.657299,1776.494261,7920.203579
1061.435939,919.314598,1702.473667,8142.265362
1061.436255,842.705048,1628.453072,7698.141797
1061.436571,229.828649,1110.308913,8660.409521
1061.436887,-536.266849,-0.000000,9696.697840
1061.437203,-919.314598,-666.185348,10362.883188
1061.437519,-1149.143247,-1332.370696,11029.068536
1061.437835,-1455.581446,-1332.370696,11029.068536
1061.438151,-1608.800546,-888.247130,10362.883188
1061.438466,-1455.581446,-740.205942,10510.924376
1061.438782,-383.047749,-518.144159,9992.780217
1061.439098,383.047749,-296.082377,9548.656652
1061.439414,842.705048,444.123565,9326.594869
1061.439730,919.314598,444.123565,8660.409521
1061.440046,1378.971896,296.082377,8882.471304
1061.440362,2528.115143,-0.000000,9548.656652
1061.440678,2451.505594,1184.329507,8438.347739
1061.440994,2068.457845,1702.473667,7920.203579
1061.441310,1455.581446,814.226536,8290.306550
1061.441625,1532.190996,296.082377,8882.471304
1061.441941,1072.533697,-518.144159,9548.656652
1061.442257,459.657299,-740.205942,9918.759623
1061.442573,0.000000,-1554.432478,10510.924376
1061.442889,0.000000,-1850.514855,11325.150913
1061.443205,842.705048,-2590.720797,11325.150913
1061.443521,229.828649,-1480.411884,10140.821405
1061.443837,766.095498,-518.144159,9548.656652
1061.444153,1532.190996,-592.164754,9178.553681
1061.444469,1991.848295,-518.144159,9252.574275
1061.444784,1915.238745,296.082377,8512.368333
1061.445100,1685.410096,888.247130,8586.388927
1061.445416,1455.581446,592.164754,8438.347739
1061.445732,1532.190996,-0.000000,9326.594869
1061.446048,1455.581446,-0.000000,9326.594869
1061.446364,1149.143247,148.041188,8660.409521
1061.446680,536.266849,-148.041188,9178.553681
1061.446996,919.314598,-666.185348,9474.636058
1061.447312,536.266849,-1036.288319,9770.718434
1061.447628,0.000000,-962.267725,9696.697840
1061.447944,-229.828649,-1406.391290,10807.006753
1061.448259,-842.705048,-2146.597232,10881.027347
1061.448575,-536.266849,-1628.453072,10584.944971
1061.448891,-229.828649,-888.247130,10066.800811
1061.449207,0.000000,-444.123565,9474.636058
1061.449523,383.047749,-148.041188,8734.430116
1061.449839,995.924147,296.082377,8660.409521
1061.450155,995.924147,518.144159,8216.285956
1061.450471,536.266849,592.164754,8438.347739
1061.450787,459.657299,296.082377,8956.491898
1061.451103,-689.485948,-0.000000,9252.574275
1061.451418,-306.438199,-1036.288319,9992.780217
1061.451734,-229.828649,-740.205942,9696.697840
1061.452050,-536.266849,-444.123565,9326.594869
1061.452366,-153.219100,-666.185348,9622.677246
1061.452682,459.657299,-740.205942,9770.718434
1061.452998,306.438199,-740.205942,9474.636058
1061.453314,153.219100,-0.000000,9252.574275
1061.453630,229.828649,-444.123565,9548.656652
1061.453946,612.876398,-814.226536,9474.636058
1061.454262,1149.143247,-0.000000,9696.697840
1061.454577,536.266849,888.247130,8734.430116
1061.454893,689.485948,888.247130,8882.471304
1061.455209,995.924147,740.205942,8882.471304
1061.455525,766.095498,962.267725,8882.471304
1061.455841,383.047749,962.267725,8734.430116
1061.456157,0.000000,666.185348,9178.553681
1061.456473,0.000000,-74.020594,9844.739029
1061.456789,0.000000,-444.123565,10362.883188
1061.457105,-459.657299,-296.082377,10066.800811
1061.457421,-306.438199,-148.041188,10140.821405
1061.457737,-612.876398,-74.020594,10066.800811
1061.458052,-153.219100,-370.102971,10066.800811
1061.458368,229.828649,370.102971,9474.636058
1061.458684,0.000000,814.226536,9252.574275
1061.459000,153.219100,592.164754,9770.718434
1061.459316,536.266849,296.082377,9918.759623
1061.459632,842.705048,-0.000000,9252.574275
1061.459948,459.657299,1036.288319,9104.533087
1061.460264,766.095498,1036.288319,9326.594869
1061.460580,536.266849,444.123565,9326.594869
1061.460896,766.095498,592.164754,9252.574275
1061.461211,0.000000,592.164754,9474.636058
1061.461527,153.219100,296.082377,9696.697840
1061.461843,-995.924147,-222.061783,9992.780217
1061.462159,-306.438199,-518.144159,10362.883188
1061.462475,0.000000,-444.123565,9992.780217
1061.462791,-229.828649,-444.123565,9992.780217
1061.463107,0.000000,-444.123565,9622.677246
1061.463423,306.438199,-444.123565,9918.759623
1061.463739,1225.752797,-444.123565,9474.636058
1061.464055,229.828649,-0.000000,9252.574275
1061.464370,383.047749,370.102971,9326.594869
1061.464686,766.095498,-148.041188,9770.718434
1061.465002,1685.410096,-148.041188,9622.677246
1061.465318,842.705048,222.061783,9104.533087
1061.465634,1072.533697,222.061783,9178.553681
1061.465950,995.924147,222.061783,8956.491898
1061.466266,1378.971896,-0.000000,9178.553681
1061.466582,1149.143247,296.082377,8808.450710
1061.466898,459.657299,-0.000000,9326.594869
1061.467214,306.438199,-296.082377,9474.636058
1061.467530,383.047749,-962.267725,10510.924376
1061.467845,306.438199,-888.247130,10214.842000
1061.468161,306.438199,-296.082377,9400.615463
1061.468477,153.219100,-0.000000,9104.533087
1061.468793,383.047749,-370.102971,9400.615463
1061.469109,689.485948,-222.061783,9400.615463
1061.469425,459.657299,-222.061783,9622.677246
1061.469741,-153.219100,-518.144159,9696.697840
1061.470057,153.219100,-962.267725,9696.697840
1061.470373,536.266849,-1036.288319,9918.759623
1061.470689,536.266849,-740.205942,9548.656652
1061.471004,612.876398,-518.144159,9178.553681
1061.471320,919.314598,-740.205942,9326.594869
1061.471636,995.924147,-814.226536,9178.553681
1061.471952,1149.143247,-740.205942,8882.471304
1061.472268,766.095498,-444.123565,9178.553681
1061.472584,306.438199,-888.247130,8956.491898
1061.472900,612.876398,-1332.370696,10140.821405
1061.473216,383.047749,-1258.350101,9770.718434
1061.473532,0.000000,-1110.308913,9104.533087
1061.473848,0.000000,-740.205942,9104.533087
1061.474163,229.828649,-1332.370696,9326.594869
1061.474479,153.219100,-1110.308913,9252.574275
1061.474795,76.609550,-888.247130,9696.697840
1061.475111,-306.438199,-1184.329507,10066.800811
1061.475427,-229.828649,-1480.411884,9918.759623
1061.475743,76.609550,-1406.391290,9992.780217
1061.476059,689.485948,-1184.329507,9992.780217
1061.476375,383.047749,-962.267725,8956.491898
1061.476691,995.924147,-518.144159,9178.553681
1061.477007,1378.971896,-148.041188,8956.491898
1061.477323,1378.971896,-148.041188,8660.409521
1061.477638,1072.533697,444.123565,8512.368333
1061.477954,995.924147,592.164754,8512.368333
1061.478270,766.095498,-74.020594,9178.553681
1061.478586,766.095498,-370.102971,9474.636058
1061.478902,919.314598,-0.000000,9104.533087
1061.479218,76.609550,148.041188,8956.491898
1061.479534,459.657299,-0.000000,9030.512492
1061.479850,536.266849,148.041188,9474.636058
1061.480166,229.828649,-0.000000,9474.636058
1061.480482,-459.657299,-222.061783,9622.677246
1061.480797,-536.266849,-222.061783,10436.903782
1061.481113,0.000000,-222.061783,10436.903782
1061.481429,76.609550,-296.082377,10288.862594
1061.481745,229.828649,370.102971,9770.718434
1061.482061,689.485948,888.247130,9104.533087
1061.482377,1149.143247,1258.350101,8660.409521
1061.482693,1608.800546,814.226536,9252.574275
1061.483009,1302.362347,1258.350101,8956.491898
1061.483325,919.314598,1554.432478,9030.512492
1061.483641,612.876398,962.267725,9326.594869
1061.483956,612.876398,296.082377,10140.821405
1061.484272,536.266849,296.082377,9918.759623
1061.484588,153.219100,518.144159,9474.636058
1061.484904,-306.438199,148.041188,9622.677246
1061.485220,0.000000,-0.000000,10362.883188
1061.485536,76.609550,-148.041188,10214.842000
1061.485852,-383.047749,-222.061783,10066.800811
1061.486168,0.000000,-518.144159,10584.944971
1061.486484,0.000000,-666.185348,10584.944971
1061.486800,306.438199,-0.000000,9918.759623
1061.487116,459.657299,-148.041188,9622.677246
1061.487431,689.485948,444.123565,9326.594869
1061.487747,842.705048,740.205942,9104.533087
1061.488063,1149.143247,222.061783,9326.594869
1061.488379,1302.362347,888.247130,9104.533087
1061.488695,306.438199,814.226536,9030.512492
1061.489011,459.657299,296.082377,9770.718434
1061.489327,612.876398,-814.226536,10066.800811
1061.489643,229.828649,-444.123565,9770.718434
1061.489959,0.000000,296.082377,9252.574275
1061.490275,76.609550,-0.000000,9252.574275
1061.490590,153.219100,-518.144159,9696.697840
1061.490906,153.219100,222.061783,9622.677246
1061.491222,229.828649,-74.020594,9400.615463
1061.491538,0.000000,-666.185348,9918.759623
1061.491854,-612.876398,-148.041188,10066.800811
1061.492170,536.266849,-962.267725,10140.821405
1061.492486,1072.533697,-1110.308913,9400.615463
1061.492802,612.876398,370.102971,8882.471304
1061.493118,689.485948,-444.123565,8734.430116
1061.493434,1685.410096,-0.000000,8660.409521
1061.493749,1302.362347,-74.020594,8882.471304
1061.494065,383.047749,222.061783,8734.430116
1061.494381,842.705048,-0.000000,9252.574275
1061.494697,459.657299,-888.247130,9474.636058
1061.495013,536.266849,-1184.329507,9918.759623
1061.495329,612.876398,-1258.350101,9326.594869
1061.495645,76.609550,-1184.329507,9400.615463
1061.495961,612.876398,-962.267725,9548.656652
1061.496277,766.095498,-1036.288319,9548.656652
1061.496593,383.047749,-1036.288319,9326.594869
1061.496909,-229.828649,-1110.308913,9696.697840
1061.497224,0.000000,-1480.411884,9844.739029
